==================================================================
fastsimcoal started on 26/06/2025 at 16:00:21

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
529	1	data unknown	2008.84	0	0
530	1	data unknown	410.118	0	0
531	1	data unknown	11472.6	0	0
532	1	data unknown	1417.39	0	0
533	1	data unknown	2718.18	0	0
534	1	data unknown	2023.7	0	0
535	1	data unknown	5009.44	0	0
536	1	data unknown	4223.69	0	0
537	1	data unknown	10081.2	0	0
538	1	data unknown	5302.37	0	0
539	1	data unknown	23477.7	0	0
540	1	data unknown	758.553	0	0
541	1	data unknown	5286.08	0	0
542	1	data unknown	24588.9	0	0
543	1	data unknown	2025.58	0	0
544	1	data unknown	138.893	0	0
545	1	data unknown	752.144	0	0
546	1	data unknown	15849.5	0	0
547	1	data unknown	20216	0	0
548	1	data unknown	3459	0	0
549	1	data unknown	21220.2	0	0
550	1	data unknown	2039.2	0	0
551	1	data unknown	3054.07	0	0
552	1	data unknown	4193.17	0	0
553	1	data unknown	4053.06	0	0
554	1	data unknown	813.56	0	0
555	1	data unknown	13849.8	0	0
556	1	data unknown	2041	0	0
557	1	data unknown	9077.28	0	0
558	1	data unknown	15550.5	0	0
559	1	data unknown	4999.52	0	0
560	1	data unknown	13183.5	0	0
561	1	data unknown	2037.98	0	0
562	1	data unknown	2000.32	0	0
563	1	data unknown	3389.91	0	0
564	1	data unknown	2019.12	0	0
565	1	data unknown	2020.13	0	0
566	1	data unknown	2032.68	0	0
567	1	data unknown	12052.9	0	0
568	1	data unknown	24204.4	0	0
569	1	data unknown	23943.6	0	0
570	1	data unknown	8662.82	0	0
571	1	data unknown	4415.99	0	0
572	1	data unknown	11862.6	0	0
573	1	data unknown	4527.46	0	0
574	1	data unknown	23125.4	0	0
575	1	data unknown	26961.5	0	0
576	1	data unknown	1949.54	0	0
577	1	data unknown	12524.3	0	0
578	1	data unknown	25432.9	0	0
579	1	data unknown	4243.22	0	0
580	1	data unknown	22023.1	0	0
581	1	data unknown	2038.36	0	0
582	1	data unknown	21538.3	0	0
583	1	data unknown	2992.69	0	0
584	1	data unknown	6976.53	0	0
585	1	data unknown	2044.54	0	0
586	1	data unknown	8340.13	0	0
587	1	data unknown	2018.26	0	0
588	1	data unknown	3146.38	0	0
589	1	data unknown	2018.5	0	0
590	1	data unknown	13314.9	0	0
591	1	data unknown	13621.6	0	0
592	1	data unknown	2818.66	0	0
593	1	data unknown	8159.35	0	0
594	1	data unknown	9210.07	0	0
595	1	data unknown	39516.5	0	0
596	1	data unknown	3060.17	0	0
597	1	data unknown	3006.73	0	0
598	1	data unknown	12221.7	0	0
599	1	data unknown	2009.94	0	0
600	1	data unknown	6621.88	0	0
601	1	data unknown	13002.7	0	0
602	1	data unknown	1207.43	0	0
603	1	data unknown	2031	0	0
604	1	data unknown	857.62	0	0
605	1	data unknown	890.503	0	0
606	1	data unknown	24313.2	0	0
607	1	data unknown	10992.7	0	0
608	1	data unknown	7365.17	0	0
609	1	data unknown	4626.75	0	0
610	1	data unknown	13108.8	0	0
611	1	data unknown	3695.09	0	0
612	1	data unknown	1144.33	0	0
613	1	data unknown	3301.14	0	0
614	1	data unknown	29890.2	0	0
615	1	data unknown	4115.2	0	0
616	1	data unknown	1267.93	0	0
617	1	data unknown	1378.86	0	0
618	1	data unknown	3603.34	0	0
619	1	data unknown	6501.52	0	0
620	1	data unknown	2822.13	0	0
621	1	data unknown	2018.37	0	0
622	1	data unknown	1426.43	0	0
623	1	data unknown	2003.58	0	0
624	1	data unknown	8522.02	0	0
625	1	data unknown	14213	0	0
626	1	data unknown	2212.54	0	0
627	1	data unknown	14583.1	0	0
628	1	data unknown	6566.79	0	0
629	1	data unknown	1028.67	0	0
630	1	data unknown	2044.63	0	0
631	1	data unknown	9452.99	0	0
632	1	data unknown	23491.3	0	0
633	1	data unknown	4002.74	0	0
634	1	data unknown	2568.26	0	0
635	1	data unknown	37095.5	0	0
636	1	data unknown	3304.84	0	0
637	1	data unknown	4544.77	0	0
638	1	data unknown	7116.11	0	0
639	1	data unknown	13145.7	0	0
640	1	data unknown	481.758	0	0
641	1	data unknown	9413.17	0	0
642	1	data unknown	42297.6	0	0
643	1	data unknown	2915.97	0	0
644	1	data unknown	1288.87	0	0
645	1	data unknown	5947.32	0	0
646	1	data unknown	8881.74	0	0
647	1	data unknown	2797.03	0	0
648	1	data unknown	2036.43	0	0
649	1	data unknown	20574.7	0	0
650	1	data unknown	809.86	0	0
651	1	data unknown	36555.4	0	0
652	1	data unknown	8223.67	0	0
653	1	data unknown	7422.96	0	0
654	1	data unknown	6602.19	0	0
655	1	data unknown	554.123	0	0
656	1	data unknown	6180.82	0	0
657	1	data unknown	11951.5	0	0
658	1	data unknown	9913.16	0	0
659	1	data unknown	12199.7	0	0
660	1	data unknown	2020.41	0	0
661	1	data unknown	1979.14	0	0
662	1	data unknown	6188.87	0	0
663	1	data unknown	5421.77	0	0
664	1	data unknown	13385.2	0	0
665	1	data unknown	2430.97	0	0
666	1	data unknown	12584.9	0	0
667	1	data unknown	754.623	0	0
668	1	data unknown	2039.91	0	0
669	1	data unknown	34404.6	0	0
670	1	data unknown	5449.09	0	0
671	1	data unknown	2022.22	0	0
672	1	data unknown	2601.45	0	0
673	1	data unknown	4323.29	0	0
674	1	data unknown	5819.53	0	0
675	1	data unknown	2041.09	0	0
676	1	data unknown	2018.81	0	0
677	1	data unknown	10203.6	0	0
678	1	data unknown	7864.93	0	0
679	1	data unknown	5906.24	0	0
680	1	data unknown	2000.59	0	0
681	1	data unknown	22321.9	0	0
682	1	data unknown	7183.36	0	0
683	1	data unknown	26547.9	0	0
684	1	data unknown	119.82	0	0
685	1	data unknown	251.617	0	0
686	1	data unknown	21666.1	0	0
687	1	data unknown	12852.5	0	0
688	1	data unknown	9300.29	0	0
689	1	data unknown	29222.9	0	0
690	1	data unknown	45062.6	0	0
691	1	data unknown	12826.1	0	0
692	1	data unknown	17436.5	0	0
693	1	data unknown	2006.26	0	0
694	1	data unknown	20683.8	0	0
695	1	data unknown	2038.98	0	0
696	1	data unknown	7300.24	0	0
697	1	data unknown	5770.13	0	0
698	1	data unknown	4052.03	0	0
699	1	data unknown	13015	0	0
700	1	data unknown	9694	0	0
701	1	data unknown	5413.46	0	0
702	1	data unknown	9599.21	0	0
703	1	data unknown	5795.77	0	0
704	1	data unknown	3920.04	0	0
705	1	data unknown	39818.9	0	0
706	1	data unknown	6571.18	0	0
707	1	data unknown	2765.98	0	0
708	1	data unknown	1715.43	0	0
709	1	data unknown	7842.66	0	0
710	1	data unknown	306.931	0	0
711	1	data unknown	1145.94	0	0
712	1	data unknown	2035.37	0	0
713	1	data unknown	3075.09	0	0
714	1	data unknown	4364.38	0	0
715	1	data unknown	7177.83	0	0
716	1	data unknown	3135.62	0	0
717	1	data unknown	1129.46	0	0
718	1	data unknown	2002.54	0	0
719	1	data unknown	12105.4	0	0
720	1	data unknown	9814.63	0	0
721	1	data unknown	9846.52	0	0
722	1	data unknown	12584.3	0	0
723	1	data unknown	3865.95	0	0
724	1	data unknown	322.914	0	0
725	1	data unknown	9290.33	0	0
726	1	data unknown	12945.4	0	0
727	1	data unknown	390.358	0	0
728	1	data unknown	2029.48	0	0
729	1	data unknown	7801.34	0	0
730	1	data unknown	515.06	0	0
731	1	data unknown	3567.87	0	0
732	1	data unknown	2468.89	0	0
733	1	data unknown	18992	0	0
734	1	data unknown	6360.38	0	0
735	1	data unknown	2017.35	0	0
736	1	data unknown	10378	0	0
737	1	data unknown	821.152	0	0
738	1	data unknown	3891.43	0	0
739	1	data unknown	7136.75	0	0
740	1	data unknown	261.726	0	0
741	1	data unknown	11510.3	0	0
742	1	data unknown	2034.3	0	0
743	1	data unknown	2011.24	0	0
744	1	data unknown	977.135	0	0
745	1	data unknown	9046.88	0	0
746	1	data unknown	4720.59	0	0
747	1	data unknown	13301.1	0	0
748	1	data unknown	3066.43	0	0
749	1	data unknown	3982.6	0	0
750	1	data unknown	2551.06	0	0
751	1	data unknown	6377.09	0	0
752	1	data unknown	7555.75	0	0
753	1	data unknown	10750.8	0	0
754	1	data unknown	1333.35	0	0
755	1	data unknown	666.199	0	0
756	1	data unknown	8087.18	0	0
757	1	data unknown	20078	0	0
758	1	data unknown	2159.33	0	0
759	1	data unknown	1377.83	0	0
760	1	data unknown	12677.9	0	0
